,index,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days)
0,38.5,94.2580688525,66.48720005874999,64.69458354125001,49.090171395,3.9830318101250004,"[4, 4]",[4],6
8,46.5,70.6151275,50.26716571125,59.287923918749996,52.545134125000004,3.6991605666250003,"[4, 4]",[32],6
7,45.5,78.97841891499999,62.47743018749999,60.123056247499996,52.893180011249996,3.822458997,"[4, 4]",[16],6
6,44.5,84.938281615,61.73052775875,61.28913302375,53.3066537775,3.7548767528750004,"[4, 4]",[8],6
1,39.5,96.53398816500001,73.18217939499999,66.113660815,54.34237668374999,3.796521518625,"[8, 8]",[4],6
3,41.5,95.74772663625,71.6254579025,67.97168732625,55.04870339125,3.9544698479999996,"[32, 32]",[4],6
5,43.5,96.258066565,71.5258896275,66.63109829625,55.46911929750001,4.085093440500001,"[4, 8, 16]",[4],6
2,40.5,94.48737495374999,71.36494214874999,67.66307173375,55.62223859375,3.8207369168749996,"[16, 16]",[4],6
4,42.5,97.95957968125,76.33775673625,68.35347885249999,57.60612561749999,3.9454270898750003,"[4, 4, 4]",[4],6
9,47.5,99.733313775,76.9956960825,70.9515581,59.31562862625,5.126682556999999,"[4, 4]","[4, 4]",6
10,48.5,93.35846271875,74.11729608625,68.63853918,65.18454072250002,5.0689431635,"[4, 4]","[4, 8]",6
