,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,lr,Test Date
0,61.805040675650034,52.34558063248793,57.3731951713562,49.15956810116768,5.800706290407106,0.01,7 Dec
0,46.706744142125046,46.40826823810736,61.61511720021566,59.7058367729187,3.7790785506367683,0.01,8 Dec
0,45.5323380878816,49.830625082055725,67.75606174468994,70.5789374311765,3.6050739826168865,0.01,9 Dec
0,47.30215227790177,44.53288123011589,106.13705908457437,109.78963653246561,3.591836852254346,0.01,10 Dec
0,55.03590907404819,52.43555458883444,74.14670314788819,73.00248061617215,3.7482179917860776,0.01,11 Dec
0,54.117877084753765,56.13180187814262,77.30299286738686,69.72541332082905,3.63104046555236,0.01,12 Dec
0,51.548858099710195,49.15164892440257,83.91571509008823,83.13903439911488,3.6655115061439574,0.01,13 Dec
0,53.07360355942713,53.48211067202299,40.94048778622047,39.462893771858,3.8610075840260834,0.01,14 Dec
0,48.988204450119774,42.11759222104498,50.52746443567069,54.22561101858383,3.6620079970452935,0.01,15 Dec
0,49.00848391208312,49.08139957438993,65.28913901266844,62.46369158525182,3.6649855421856046,0.01,16 Dec
